index	prediction
0	not_entailment
1	entailment
2	not_entailment
3	not_entailment
4	not_entailment
5	entailment
6	not_entailment
7	entailment
8	not_entailment
9	entailment
10	entailment
11	entailment
12	entailment
13	entailment
14	entailment
15	entailment
16	not_entailment
17	not_entailment
18	not_entailment
19	entailment
20	not_entailment
21	entailment
22	not_entailment
23	not_entailment
24	entailment
25	entailment
26	not_entailment
27	not_entailment
28	entailment
29	not_entailment
30	entailment
31	entailment
32	not_entailment
33	entailment
34	not_entailment
35	not_entailment
36	entailment
37	not_entailment
38	entailment
39	not_entailment
40	entailment
41	not_entailment
42	not_entailment
43	entailment
44	entailment
45	not_entailment
46	not_entailment
47	not_entailment
48	not_entailment
49	not_entailment
50	not_entailment
51	entailment
52	not_entailment
53	not_entailment
54	not_entailment
55	not_entailment
56	not_entailment
57	not_entailment
58	entailment
59	entailment
60	entailment
61	entailment
62	entailment
63	not_entailment
64	entailment
65	not_entailment
66	entailment
67	not_entailment
68	entailment
69	not_entailment
70	not_entailment
71	entailment
72	not_entailment
73	entailment
74	not_entailment
75	not_entailment
76	not_entailment
77	not_entailment
78	entailment
79	not_entailment
80	not_entailment
81	entailment
82	not_entailment
83	entailment
84	entailment
85	entailment
86	not_entailment
87	not_entailment
88	not_entailment
89	entailment
90	not_entailment
91	not_entailment
92	not_entailment
93	entailment
94	entailment
95	not_entailment
96	not_entailment
97	not_entailment
98	not_entailment
99	not_entailment
100	entailment
101	not_entailment
102	not_entailment
103	entailment
104	not_entailment
105	entailment
106	entailment
107	not_entailment
108	not_entailment
109	entailment
110	not_entailment
111	not_entailment
112	entailment
113	not_entailment
114	not_entailment
115	not_entailment
116	not_entailment
117	entailment
118	not_entailment
119	entailment
120	entailment
121	not_entailment
122	entailment
123	entailment
124	not_entailment
125	not_entailment
126	not_entailment
127	not_entailment
128	entailment
129	not_entailment
130	not_entailment
131	not_entailment
132	not_entailment
133	not_entailment
134	not_entailment
135	entailment
136	entailment
137	not_entailment
138	not_entailment
139	not_entailment
140	not_entailment
141	not_entailment
142	not_entailment
143	entailment
144	entailment
145	entailment
146	entailment
147	entailment
148	entailment
149	not_entailment
150	not_entailment
151	entailment
152	not_entailment
153	entailment
154	entailment
155	entailment
156	not_entailment
157	not_entailment
158	entailment
159	not_entailment
160	not_entailment
161	entailment
162	not_entailment
163	not_entailment
164	entailment
165	entailment
166	not_entailment
167	not_entailment
168	entailment
169	not_entailment
170	not_entailment
171	entailment
172	entailment
173	entailment
174	entailment
175	entailment
176	entailment
177	entailment
178	entailment
179	not_entailment
180	not_entailment
181	entailment
182	entailment
183	entailment
184	not_entailment
185	entailment
186	entailment
187	entailment
188	entailment
189	entailment
190	entailment
191	not_entailment
192	entailment
193	entailment
194	not_entailment
195	entailment
196	not_entailment
197	entailment
198	entailment
199	not_entailment
200	not_entailment
201	entailment
202	entailment
203	entailment
204	entailment
205	entailment
206	not_entailment
207	not_entailment
208	entailment
209	not_entailment
210	not_entailment
211	not_entailment
212	not_entailment
213	not_entailment
214	not_entailment
215	entailment
216	entailment
217	entailment
218	entailment
219	not_entailment
220	entailment
221	entailment
222	entailment
223	entailment
224	entailment
225	not_entailment
226	entailment
227	not_entailment
228	entailment
229	not_entailment
230	entailment
231	not_entailment
232	entailment
233	not_entailment
234	not_entailment
235	entailment
236	not_entailment
237	entailment
238	entailment
239	entailment
240	entailment
241	entailment
242	entailment
243	entailment
244	entailment
245	not_entailment
246	entailment
247	entailment
248	not_entailment
249	entailment
250	not_entailment
251	not_entailment
252	not_entailment
253	entailment
254	not_entailment
255	not_entailment
256	not_entailment
257	not_entailment
258	entailment
259	not_entailment
260	entailment
261	entailment
262	not_entailment
263	not_entailment
264	entailment
265	entailment
266	not_entailment
267	not_entailment
268	not_entailment
269	entailment
270	not_entailment
271	entailment
272	not_entailment
273	not_entailment
274	not_entailment
275	not_entailment
276	not_entailment
277	not_entailment
278	entailment
279	not_entailment
280	not_entailment
281	not_entailment
282	entailment
283	entailment
284	not_entailment
285	entailment
286	entailment
287	entailment
288	entailment
289	entailment
290	entailment
291	not_entailment
292	not_entailment
293	entailment
294	not_entailment
295	entailment
296	not_entailment
297	entailment
298	not_entailment
299	entailment
