index	prediction
0	entailment
1	entailment
2	entailment
3	entailment
4	not_entailment
5	entailment
6	entailment
7	entailment
8	not_entailment
9	not_entailment
10	entailment
11	entailment
12	entailment
13	entailment
14	entailment
15	entailment
16	not_entailment
17	entailment
18	not_entailment
19	not_entailment
20	entailment
21	entailment
22	entailment
23	not_entailment
24	not_entailment
25	entailment
26	not_entailment
27	entailment
28	entailment
29	entailment
30	not_entailment
31	entailment
32	not_entailment
33	entailment
34	entailment
35	entailment
36	not_entailment
37	entailment
38	not_entailment
39	entailment
40	entailment
41	not_entailment
42	entailment
43	entailment
44	entailment
45	entailment
46	entailment
47	entailment
48	entailment
49	entailment
50	entailment
51	entailment
52	not_entailment
53	entailment
54	entailment
55	entailment
56	entailment
57	entailment
58	entailment
59	not_entailment
60	entailment
61	entailment
62	entailment
63	entailment
64	entailment
65	not_entailment
66	entailment
67	entailment
68	not_entailment
69	entailment
70	entailment
71	entailment
72	entailment
73	entailment
74	entailment
75	not_entailment
76	not_entailment
77	entailment
78	entailment
79	entailment
80	not_entailment
81	entailment
82	entailment
83	entailment
84	entailment
85	not_entailment
86	entailment
87	entailment
88	not_entailment
89	entailment
90	not_entailment
91	entailment
92	entailment
93	entailment
94	not_entailment
95	not_entailment
96	not_entailment
97	entailment
98	entailment
99	not_entailment
100	entailment
101	entailment
102	entailment
103	entailment
104	entailment
105	entailment
106	not_entailment
107	entailment
108	entailment
109	entailment
110	entailment
111	entailment
112	entailment
113	not_entailment
114	entailment
115	entailment
116	not_entailment
117	not_entailment
118	entailment
119	not_entailment
120	not_entailment
121	not_entailment
122	not_entailment
123	entailment
124	not_entailment
125	entailment
126	entailment
127	not_entailment
128	entailment
129	entailment
130	not_entailment
131	entailment
132	not_entailment
133	not_entailment
134	not_entailment
135	entailment
136	entailment
137	entailment
138	entailment
139	entailment
140	not_entailment
141	not_entailment
142	not_entailment
143	entailment
144	entailment
145	entailment
146	not_entailment
147	entailment
148	not_entailment
149	entailment
150	not_entailment
151	entailment
152	entailment
153	entailment
154	entailment
155	entailment
156	not_entailment
157	entailment
158	entailment
159	not_entailment
160	not_entailment
161	entailment
162	entailment
163	not_entailment
164	entailment
165	entailment
166	entailment
167	entailment
168	entailment
169	entailment
170	entailment
171	not_entailment
172	entailment
173	entailment
174	entailment
175	not_entailment
176	not_entailment
177	entailment
178	entailment
179	entailment
180	entailment
181	entailment
182	entailment
183	entailment
184	entailment
185	entailment
186	not_entailment
187	entailment
188	entailment
189	entailment
190	entailment
191	entailment
192	entailment
193	not_entailment
194	entailment
195	entailment
196	entailment
197	entailment
198	not_entailment
199	entailment
200	entailment
201	entailment
202	entailment
203	not_entailment
204	not_entailment
205	entailment
206	not_entailment
207	not_entailment
208	not_entailment
209	entailment
210	entailment
211	entailment
212	not_entailment
213	not_entailment
214	not_entailment
215	entailment
216	not_entailment
217	entailment
218	entailment
219	not_entailment
220	not_entailment
221	not_entailment
222	entailment
223	not_entailment
224	entailment
225	not_entailment
226	entailment
227	not_entailment
228	entailment
229	not_entailment
230	not_entailment
231	entailment
232	entailment
233	not_entailment
234	not_entailment
235	not_entailment
236	not_entailment
237	entailment
238	not_entailment
239	entailment
240	entailment
241	not_entailment
242	entailment
243	entailment
244	entailment
245	not_entailment
246	entailment
247	not_entailment
248	entailment
249	entailment
250	not_entailment
251	not_entailment
252	entailment
253	entailment
254	entailment
255	entailment
256	entailment
257	not_entailment
258	not_entailment
259	entailment
260	not_entailment
261	not_entailment
262	entailment
263	not_entailment
264	entailment
265	entailment
266	not_entailment
267	entailment
268	not_entailment
269	not_entailment
270	entailment
271	entailment
272	not_entailment
273	entailment
274	entailment
275	not_entailment
276	not_entailment
277	entailment
278	entailment
279	not_entailment
280	not_entailment
281	entailment
282	not_entailment
283	entailment
284	not_entailment
285	not_entailment
286	entailment
287	not_entailment
288	not_entailment
289	not_entailment
290	not_entailment
291	entailment
292	not_entailment
293	entailment
294	entailment
295	entailment
296	not_entailment
297	not_entailment
298	entailment
299	not_entailment
300	not_entailment
301	not_entailment
302	not_entailment
303	entailment
304	entailment
305	not_entailment
306	entailment
307	not_entailment
308	entailment
309	not_entailment
310	not_entailment
311	not_entailment
312	entailment
313	not_entailment
314	entailment
315	not_entailment
316	entailment
317	not_entailment
318	entailment
319	not_entailment
320	not_entailment
321	not_entailment
322	entailment
323	entailment
324	entailment
325	not_entailment
326	not_entailment
327	entailment
328	not_entailment
329	entailment
330	entailment
331	not_entailment
332	not_entailment
333	entailment
334	not_entailment
335	entailment
336	not_entailment
337	entailment
338	entailment
339	entailment
340	entailment
341	entailment
342	entailment
343	not_entailment
344	not_entailment
345	entailment
346	entailment
347	entailment
348	not_entailment
349	not_entailment
350	entailment
351	entailment
352	not_entailment
353	not_entailment
354	entailment
355	entailment
356	entailment
357	not_entailment
358	not_entailment
359	not_entailment
360	entailment
361	entailment
362	entailment
363	not_entailment
364	entailment
365	not_entailment
366	not_entailment
367	entailment
368	entailment
369	entailment
370	entailment
371	entailment
372	not_entailment
373	entailment
374	not_entailment
375	entailment
376	not_entailment
377	entailment
378	not_entailment
379	not_entailment
380	not_entailment
381	not_entailment
382	entailment
383	not_entailment
384	not_entailment
385	entailment
386	not_entailment
387	entailment
388	entailment
389	entailment
390	not_entailment
391	entailment
392	not_entailment
393	entailment
394	entailment
395	entailment
396	not_entailment
397	entailment
398	not_entailment
399	entailment
400	entailment
401	not_entailment
402	entailment
403	entailment
404	not_entailment
405	entailment
406	entailment
407	entailment
408	entailment
409	entailment
410	entailment
411	entailment
412	entailment
413	entailment
414	entailment
415	entailment
416	entailment
417	not_entailment
418	not_entailment
419	not_entailment
420	entailment
421	entailment
422	entailment
423	entailment
424	entailment
425	entailment
426	entailment
427	entailment
428	entailment
429	not_entailment
430	entailment
431	not_entailment
432	entailment
433	entailment
434	entailment
435	not_entailment
436	not_entailment
437	entailment
438	entailment
439	entailment
440	entailment
441	entailment
442	entailment
443	not_entailment
444	entailment
445	entailment
446	entailment
447	entailment
448	entailment
