index	prediction
0	1
1	1
2	1
3	1
4	0
5	1
6	1
7	1
8	0
9	1
10	1
11	0
12	0
13	0
14	1
15	1
16	0
17	1
18	0
19	0
20	1
21	1
22	0
23	1
24	1
25	0
26	1
27	0
28	1
29	1
30	0
31	1
32	1
33	1
34	0
35	0
36	1
37	1
38	0
39	1
40	0
41	1
42	0
43	1
44	1
45	1
46	0
47	0
48	1
49	1
50	0
51	1
52	1
53	1
54	1
55	1
56	1
57	0
58	1
59	1
60	0
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	0
70	1
71	0
72	0
73	1
74	1
75	1
76	0
77	1
78	1
79	1
80	1
81	1
82	0
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	0
97	1
98	1
99	1
100	0
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	0
116	1
117	0
118	0
119	1
120	1
121	0
122	1
123	0
124	1
125	1
126	0
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	0
139	0
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	0
150	1
151	1
152	0
153	1
154	1
155	1
156	0
157	0
158	0
159	1
160	1
161	1
162	1
163	1
164	1
165	0
166	0
167	0
168	1
169	1
170	1
171	1
172	1
173	0
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	0
183	1
184	1
185	1
186	1
187	0
188	0
189	1
190	1
191	1
192	0
193	1
194	0
195	1
196	0
197	1
198	1
199	1
200	1
201	0
202	0
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	0
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	0
222	1
223	1
224	0
225	1
226	0
227	1
228	0
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	0
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	0
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	0
261	1
262	1
263	1
264	1
265	1
266	1
267	0
268	1
269	1
270	1
271	0
272	0
273	1
274	1
275	1
276	1
277	0
278	1
279	0
280	1
281	1
282	1
283	1
284	1
285	0
286	1
287	1
288	1
289	1
290	1
291	0
292	1
293	0
294	0
295	1
296	1
297	1
298	1
299	1
300	1
301	0
302	1
303	1
304	1
305	1
306	0
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	0
315	0
316	0
317	0
318	1
319	0
320	0
321	1
322	0
323	1
324	1
325	1
326	0
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	0
339	1
340	1
341	1
342	0
343	0
344	0
345	1
346	1
347	1
348	1
349	0
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	0
362	1
363	0
364	1
365	0
366	1
367	1
368	1
369	1
370	0
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	1
379	1
380	1
381	1
382	1
383	1
384	1
385	1
386	1
387	1
388	1
389	0
390	1
391	0
392	1
393	1
394	1
395	1
396	1
397	1
398	1
399	1
400	1
401	1
402	0
403	1
404	1
405	1
406	1
407	1
408	1
409	1
410	1
411	1
412	1
413	1
414	1
415	0
416	1
417	1
418	0
419	0
420	1
421	1
422	1
423	1
424	1
425	1
426	1
427	1
428	1
429	0
430	1
431	1
432	1
433	1
434	1
435	0
436	1
437	1
438	1
439	1
440	1
441	1
442	1
443	1
444	0
445	1
446	1
447	1
448	0
449	1
450	0
451	1
452	1
453	1
454	1
455	1
456	1
457	1
458	1
459	0
460	1
461	1
462	0
463	1
464	1
465	1
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	0
474	1
475	0
476	0
477	1
478	1
479	0
480	1
481	1
482	1
483	0
484	1
485	1
486	1
487	1
488	0
489	1
490	1
491	0
492	1
493	1
494	1
495	0
496	0
497	1
498	1
499	1
500	1
501	1
502	1
503	1
504	0
505	1
506	1
507	1
508	0
509	1
510	1
511	0
512	1
513	1
514	1
515	1
516	1
517	0
518	1
519	1
520	1
521	1
522	0
523	1
524	0
525	1
526	1
527	1
528	1
529	1
530	1
531	1
532	1
533	1
534	1
535	1
536	1
537	1
538	1
539	1
540	1
541	1
542	1
543	1
544	1
545	1
546	1
547	1
548	1
549	1
550	1
551	1
552	1
553	1
554	1
555	1
556	1
557	1
558	1
559	1
560	0
561	1
562	1
563	1
564	1
565	1
566	1
567	1
568	1
569	1
570	0
571	0
572	1
573	1
574	1
575	0
576	0
577	1
578	0
579	1
580	0
581	0
582	0
583	1
584	1
585	1
586	1
587	1
588	1
589	1
590	1
591	1
592	0
593	1
594	1
595	1
596	1
597	1
598	1
599	1
600	1
601	1
602	1
603	1
604	0
605	1
606	0
607	1
608	1
609	1
610	1
611	1
612	1
613	1
614	1
615	0
616	1
617	0
618	1
619	1
620	1
621	1
622	0
623	1
624	1
625	1
626	1
627	1
628	1
629	1
630	0
631	0
632	1
633	0
634	1
635	0
636	1
637	0
638	1
639	1
640	0
641	0
642	0
643	1
644	1
645	1
646	1
647	1
648	1
649	1
650	0
651	0
652	0
653	0
654	1
655	0
656	0
657	0
658	0
659	0
660	0
661	1
662	0
663	1
664	1
665	1
666	1
667	1
668	1
669	1
670	1
671	1
672	1
673	1
674	1
675	1
676	1
677	1
678	1
679	1
680	1
681	1
682	1
683	1
684	1
685	1
686	1
687	1
688	1
689	0
690	0
691	1
692	0
693	1
694	0
695	0
696	1
697	1
698	1
699	1
700	1
701	0
702	0
703	1
704	1
705	0
706	0
707	0
708	1
709	1
710	1
711	1
712	0
713	1
714	1
715	0
716	0
717	0
718	0
719	0
720	1
721	0
722	0
723	0
724	1
725	1
726	1
727	0
728	1
729	1
730	1
731	0
732	1
733	1
734	1
735	1
736	1
737	1
738	1
739	0
740	1
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	1
749	1
750	1
751	1
752	0
753	1
754	1
755	0
756	0
757	1
758	1
759	0
760	1
761	1
762	1
763	1
764	1
765	1
766	1
767	1
768	1
769	1
770	1
771	1
772	1
773	1
774	1
775	0
776	0
777	1
778	1
779	1
780	1
781	1
782	1
783	1
784	1
785	1
786	1
787	1
788	1
789	1
790	1
791	1
792	1
793	1
794	1
795	1
796	0
797	1
798	0
799	0
800	1
801	1
802	1
803	0
804	1
805	1
806	1
807	0
808	0
809	1
810	1
811	1
