index	prediction
0	entailment
1	contradiction
2	neutral
3	neutral
4	contradiction
5	contradiction
6	neutral
7	contradiction
8	neutral
9	contradiction
10	entailment
11	contradiction
12	entailment
13	entailment
14	entailment
15	neutral
16	entailment
17	neutral
18	contradiction
19	neutral
20	contradiction
21	entailment
22	neutral
23	contradiction
24	entailment
25	entailment
26	entailment
27	contradiction
28	entailment
29	entailment
30	neutral
31	contradiction
32	neutral
33	contradiction
34	neutral
35	entailment
36	entailment
37	neutral
38	neutral
39	contradiction
40	contradiction
41	neutral
42	entailment
43	contradiction
44	neutral
45	entailment
46	contradiction
47	entailment
48	entailment
49	entailment
50	neutral
51	entailment
52	entailment
53	neutral
54	contradiction
55	neutral
56	entailment
57	entailment
58	entailment
59	entailment
60	contradiction
61	neutral
62	entailment
63	neutral
64	contradiction
65	entailment
66	contradiction
67	neutral
68	entailment
69	neutral
70	neutral
71	entailment
72	contradiction
73	entailment
74	entailment
75	contradiction
76	contradiction
77	contradiction
78	entailment
79	neutral
80	contradiction
81	contradiction
82	entailment
83	contradiction
84	contradiction
85	contradiction
86	contradiction
87	neutral
88	contradiction
89	entailment
90	contradiction
91	neutral
92	entailment
93	contradiction
94	contradiction
95	entailment
96	contradiction
97	neutral
98	contradiction
99	contradiction
100	entailment
101	entailment
102	contradiction
103	contradiction
104	entailment
105	neutral
106	entailment
107	neutral
108	contradiction
109	contradiction
110	entailment
111	neutral
112	neutral
113	neutral
114	entailment
115	contradiction
116	contradiction
117	neutral
118	neutral
119	entailment
120	entailment
121	entailment
122	entailment
123	contradiction
124	neutral
125	contradiction
126	neutral
127	neutral
128	entailment
129	contradiction
130	neutral
131	entailment
132	contradiction
133	contradiction
134	neutral
135	contradiction
136	neutral
137	contradiction
138	contradiction
139	contradiction
140	contradiction
141	contradiction
142	entailment
143	entailment
144	contradiction
145	entailment
146	entailment
147	entailment
148	entailment
149	neutral
150	contradiction
151	neutral
152	entailment
153	contradiction
154	neutral
155	contradiction
156	entailment
157	entailment
158	neutral
159	neutral
160	contradiction
161	contradiction
162	contradiction
163	entailment
164	contradiction
165	contradiction
166	neutral
167	contradiction
168	entailment
169	entailment
170	contradiction
171	neutral
172	neutral
173	neutral
174	neutral
175	neutral
176	contradiction
177	entailment
178	contradiction
179	neutral
180	neutral
181	contradiction
182	contradiction
183	entailment
184	contradiction
185	neutral
186	contradiction
187	entailment
188	contradiction
189	neutral
190	entailment
191	neutral
192	neutral
