index	prediction
0	3.7980523
1	4.179186
2	4.9220157
3	4.816141
4	2.2167215
5	2.08013
6	3.7768633
7	1.7654717
8	2.6419694
9	1.7074283
10	1.7074283
11	5.0
12	0.6541622
13	4.788373
14	1.9832516
15	1.860167
16	4.623633
17	3.2295537
18	2.1378388
19	0.8027775
20	2.205901
21	0.95373976
22	4.908525
23	4.811231
24	1.3513157
25	3.5166006
26	0.9875763
27	4.2453213
28	0.5471974
29	3.1152177
30	2.6895878
31	4.728817
32	1.151152
33	4.2933407
34	2.8949494
35	0.29203606
36	1.0841545
37	2.4298286
38	4.1598716
39	0.8500386
40	3.9285846
41	3.3332965
42	3.514633
43	0.7854439
44	1.7029103
45	0.5906797
46	0.21997462
47	0.630454
48	4.3090906
49	2.3575711
50	0.9154319
51	1.6115563
52	0.38346705
53	0.8408769
54	1.5937626
55	0.09626454
56	4.2526917
57	1.193389
58	3.848468
59	1.9523036
60	4.868947
61	0.12620196
62	3.4418
63	2.2747662
64	3.6812549
65	0.72185117
66	0.19609526
67	3.6472487
68	0.08703083
69	3.9728394
70	3.2001488
71	4.5640492
72	0.09819676
73	4.073522
74	4.102287
75	0.16460375
76	0.13755591
77	0.048919704
78	3.6465075
79	4.661375
80	0.3252924
81	0.9102144
82	2.7958834
83	2.145353
84	0.46233323
85	3.1966138
86	3.556215
87	4.39085
88	3.7550814
89	1.5471739
90	0.91275257
91	3.3837068
92	0.6449913
93	3.9623132
94	2.4400768
95	4.40527
96	3.9626272
97	4.466801
98	3.414269
99	4.1902137
100	0.0025424077
101	0.91451865
102	3.4903736
103	2.9030256
104	3.8643942
105	3.3162878
106	0.054145344
107	2.3147693
108	1.7495742
109	3.2148447
110	2.481445
111	3.0680504
112	3.2959764
113	3.379484
114	0.009463795
115	0.08817477
116	4.462346
117	2.605163
118	0.08482923
119	0.7420711
120	1.7095243
121	0.32469207
122	0.046206962
123	0.31174925
124	0.059240755
125	5.0
126	0.33811355
127	2.2536669
128	5.0
129	4.513165
130	4.220544
131	2.6334388
132	4.040707
133	4.8710804
134	3.1642294
135	4.053484
136	5.0
137	2.1658294
138	1.9813204
139	5.0
140	4.903548
141	3.4429193
142	3.2804325
143	4.2121387
144	1.9281698
145	1.2117059
146	4.1189623
147	3.0515552
148	1.7310127
149	0.864772
150	1.6936272
151	1.5958478
152	3.5654588
153	3.5545256
154	3.6839151
155	3.7412796
156	0.26517326
157	0.3877885
158	3.9718757
159	0.6383681
160	5.0
161	2.0306334
162	1.2652031
163	3.2891119
164	4.29275
165	3.2315202
166	3.5961187
167	3.9374948
168	4.3465524
169	3.7208002
170	1.7494638
171	0.19158374
172	4.723543
173	3.7757838
174	3.2040596
175	3.0233345
176	4.0718207
177	3.762911
178	0.5314439
179	0.23048595
180	0.034112588
181	3.2080948
182	3.1902668
183	0.55533004
184	2.013884
185	0.13459015
186	0.022416553
187	0.23713334
188	0.3792073
189	0.30397072
190	4.3542027
191	4.8314314
192	1.6949061
193	3.0412214
194	3.8871763
195	3.993215
196	4.038404
197	0.59185433
198	0.009860893
199	3.5584636
200	0.7989773
201	1.2024515
202	0.9849488
203	0.31720695
204	0.29948765
205	0.5582157
206	3.5933037
207	0.060927354
208	2.5748224
209	1.8484998
210	0.966785
211	0.65086174
212	0.50017005
213	1.1878778
214	2.1795285
215	0.8608072
216	2.6774387
217	3.7499576
218	3.6935756
219	2.3328476
220	0.34407154
221	0.07109408
222	0.101748124
223	2.488973
224	0.026952276
225	0.052573595
226	3.0765083
227	3.0175536
228	0.36260355
229	1.7073702
230	0.38503316
231	0.02807177
232	4.431808
233	3.0280406
234	3.0362692
235	2.9390726
236	0.10364943
237	-0.01635641
238	0.7049883
239	0.026693182
240	1.2974256
241	0.06981283
242	0.03726943
243	0.07426586
244	2.9381921
245	0.08093806
246	3.3604348
247	2.3663757
248	0.04783263
249	0.09892296
250	3.9311883
251	4.2939754
252	3.572231
253	3.2321935
254	1.5486542
255	3.7550907
256	0.55156773
257	4.1358795
258	3.058915
259	0.044658918
260	4.931888
261	3.8263197
262	3.4320054
263	3.7822294
264	2.7569656
265	1.5756639
266	1.4794852
267	3.4834354
268	1.0988016
269	5.0
270	3.996219
271	0.35000232
272	2.7355833
273	3.8459291
274	4.012246
275	5.0
276	0.4428148
277	0.0800857
278	3.5453908
279	2.90635
280	0.8262295
281	2.2984502
282	3.4077766
283	2.770113
284	3.5584593
285	4.6678333
286	1.7481984
287	3.977817
288	3.4537716
289	0.7788548
290	4.5578547
291	1.4883844
292	2.390824
293	4.726396
294	0.49170217
295	0.57191044
296	2.2984028
297	3.6056263
298	3.036364
299	3.187429
300	5.0
301	2.6179838
302	0.821582
303	4.4659214
304	3.1475925
305	4.585638
306	4.3337
307	3.9710064
308	3.6861787
309	3.3844798
310	2.0450602
311	0.25369066
312	0.9205938
313	2.9604926
314	3.561252
315	4.829373
316	3.5055792
317	3.646295
318	0.022037627
319	0.08259971
320	3.8192015
321	2.8638985
322	3.741209
323	2.8673172
324	2.748019
325	0.068691425
326	3.1733704
327	4.1896133
328	4.6353564
329	3.4793327
330	5.0
331	4.8906283
332	3.6930165
333	3.8866417
334	3.0843608
335	1.3428866
336	4.079198
337	3.1192613
338	0.13653047
339	0.5372245
340	3.726385
341	4.8318195
342	4.861387
343	1.9948554
344	2.718571
345	0.419899
346	4.2930336
347	0.075970255
348	3.669137
349	0.070191585
350	3.364331
351	3.2036057
352	0.6126295
353	3.8990426
354	3.3309252
355	0.041036345
356	2.4815388
357	4.5074778
358	0.25603712
359	4.0335145
360	4.646178
361	3.9385562
362	2.2181587
363	2.962427
364	4.9933267
365	0.15964301
366	0.6779804
367	3.3240428
368	3.9251697
369	4.6727877
370	3.1980035
371	4.0706735
372	0.09975722
373	0.7721395
374	1.4118719
375	3.8403642
376	2.4412951
377	0.12939526
378	1.2980648
379	1.7249434
380	4.110027
381	4.0419517
382	3.2277687
383	0.7638842
384	2.8102183
385	2.9305272
386	4.690949
387	1.1154232
388	3.5694766
389	2.4549408
390	4.4672904
391	2.6374686
392	-0.006926453
393	1.9179806
394	2.2547402
395	0.054402344
396	0.79179996
397	4.8501916
398	3.1625037
399	2.8179128
400	2.971069
401	0.17462958
402	1.5506479
403	3.247676
404	2.3959134
405	3.8020473
406	0.07999365
407	3.3990526
408	1.9610374
409	3.538475
410	4.6154923
411	5.0
412	1.6384645
413	4.5849533
414	0.1734218
415	1.128374
416	0.11656274
417	5.0
418	4.1611094
419	4.216949
420	5.0
421	1.2266918
422	4.7384458
423	1.3750539
424	2.558361
425	2.588714
426	-0.013736433
427	5.0
428	2.8426049
429	4.4984164
430	0.96920747
431	4.986857
432	0.5689097
433	3.583855
434	0.6551867
435	3.1033454
436	1.4442043
437	5.0
438	4.445257
439	4.199167
440	3.563314
441	2.7991834
442	-0.031379417
443	4.014331
444	3.255911
445	-0.030323884
446	0.9344788
447	3.527391
448	0.16475715
449	1.6066506
450	3.664532
451	4.3832183
452	0.30926234
453	0.07588502
454	5.0
455	2.4181902
456	3.1208005
457	4.956575
458	1.5422693
459	3.4862978
460	0.12170702
461	2.607851
462	0.05969786
463	2.2180557
464	3.6299317
465	3.854431
466	2.6753623
467	5.0
468	4.579766
469	0.6806114
470	2.5318782
471	3.681561
472	2.156147
473	4.939255
474	2.1848192
475	2.4863665
476	0.870655
477	3.1581933
478	3.8212056
479	0.007878811
480	5.0
481	1.825908
482	4.0069747
483	0.13175441
484	4.535644
485	0.26127273
486	2.5783892
487	4.7189226
488	3.2477362
489	5.0
490	4.3290854
491	3.6250553
492	3.8517454
493	3.4339805
494	2.5101538
495	3.225747
496	0.8409055
497	4.3134737
498	0.54626375
499	5.0
500	1.8039813
501	2.7187881
502	1.0191399
503	3.264162
504	1.6357305
505	3.8235538
506	2.99497
507	1.1492704
508	2.762095
509	-0.019636018
510	1.5965176
511	1.8097999
512	3.0612915
513	0.707103
514	1.5444406
515	0.228303
516	2.5032642
517	1.0268158
518	2.9159117
519	3.6917462
520	0.90639275
521	2.8128874
522	4.0542765
523	2.099932
524	3.8812532
525	3.3971229
526	0.8821597
527	0.33439437
528	3.2662334
529	0.91044116
530	0.29640764
531	0.1254013
532	0.26254815
533	0.45897555
534	1.5616136
