index	prediction
0	0
1	0
2	1
3	1
4	1
5	1
6	0
7	1
8	0
9	0
10	0
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	0
20	0
21	1
22	0
23	1
24	0
25	0
26	0
27	0
28	1
29	1
30	1
31	0
32	0
33	1
34	0
35	1
36	0
37	0
38	0
39	0
40	1
41	0
42	1
43	1
44	0
45	1
46	1
47	0
48	0
49	0
50	0
51	1
52	0
53	0
54	1
55	0
56	0
57	0
58	0
59	1
60	1
61	0
62	1
63	1
64	1
65	1
66	1
67	0
68	0
69	0
70	1
71	1
72	1
73	1
74	0
75	0
76	0
77	1
78	0
79	1
80	0
81	1
82	1
83	1
84	1
85	1
86	0
87	0
88	0
89	1
90	1
91	1
92	0
93	1
94	1
95	1
96	1
97	1
98	0
99	0
100	0
101	0
102	0
103	1
104	1
105	0
106	1
107	0
108	1
109	0
110	0
111	1
112	0
113	1
114	1
115	1
116	1
117	0
118	0
119	1
120	1
121	0
122	1
123	0
124	1
125	1
126	1
127	0
128	0
129	1
130	1
131	0
132	1
133	1
134	0
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	0
143	1
144	1
145	1
146	0
147	0
148	0
149	1
150	1
151	0
152	1
153	0
154	0
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	0
163	0
164	0
165	0
166	0
167	1
168	1
169	1
170	1
171	1
172	0
173	0
174	0
175	0
176	1
177	0
178	1
179	1
180	1
181	0
182	1
183	1
184	0
185	1
186	1
187	1
188	0
189	1
190	1
191	0
192	1
193	1
194	0
195	1
196	1
197	1
198	1
199	0
200	0
201	0
202	0
203	0
204	1
205	1
206	1
207	1
208	0
209	0
210	1
211	1
212	1
213	0
214	1
215	1
216	1
217	0
218	1
219	1
220	0
221	1
222	1
223	0
224	0
225	1
226	0
227	1
228	1
229	1
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	1
240	0
241	0
242	1
243	1
244	1
245	0
246	0
247	0
248	0
249	1
250	0
251	0
252	1
253	0
254	1
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	1
265	1
266	1
267	1
268	1
269	0
270	0
271	1
272	1
273	1
274	0
275	1
276	0
277	0
278	0
279	1
280	1
281	1
282	0
283	0
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	0
293	1
294	0
295	1
296	0
297	0
298	1
299	1
300	0
301	1
302	1
303	1
304	0
305	1
306	0
307	1
308	1
309	1
310	0
311	1
312	1
313	0
314	0
315	1
316	1
317	1
318	1
319	0
320	0
321	0
322	0
323	1
324	1
325	1
326	0
327	1
328	1
329	1
330	1
331	1
332	0
333	0
334	0
335	1
336	0
337	1
338	1
339	0
340	1
341	0
342	0
343	1
344	0
345	0
346	1
347	1
348	1
349	0
350	1
351	0
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	0
360	1
361	1
362	0
363	0
364	1
365	0
366	1
367	1
368	1
369	0
370	0
371	0
372	0
373	1
374	0
375	0
376	1
377	1
378	0
379	1
380	0
381	0
382	0
383	1
384	1
385	0
386	1
387	0
388	1
389	0
390	1
391	1
392	1
393	1
394	1
395	0
396	0
397	0
398	0
399	0
400	1
401	1
402	1
403	1
404	0
405	1
406	1
407	1
408	0
409	0
410	0
411	1
412	1
413	1
414	0
415	0
416	1
417	1
418	1
419	1
420	0
421	1
422	1
423	0
424	0
425	0
426	1
427	1
428	1
429	1
430	0
431	1
432	0
433	0
434	1
435	0
436	0
437	1
438	0
439	0
440	1
441	1
442	1
443	1
444	1
445	0
446	0
447	0
448	1
449	1
450	1
451	1
452	1
453	0
454	1
455	0
456	1
457	0
458	1
459	1
460	0
461	1
462	0
463	0
464	1
465	0
466	0
467	1
468	0
469	1
470	1
471	0
472	0
473	1
474	1
475	0
476	0
477	1
478	0
479	1
480	1
481	0
482	0
483	1
484	0
485	0
486	0
487	1
488	0
489	1
490	1
491	1
492	0
493	1
494	1
495	1
496	0
497	1
498	1
499	0
500	0
501	0
502	0
503	0
504	1
505	0
506	1
507	1
508	1
509	0
510	0
511	0
512	0
513	0
514	0
515	1
516	1
517	1
518	1
519	0
520	0
521	1
522	0
523	0
524	0
525	1
526	0
527	1
528	0
529	1
530	0
531	0
