index	prediction
0	entailment
1	neutral
2	entailment
3	neutral
4	entailment
5	entailment
6	neutral
7	contradiction
8	neutral
9	entailment
10	entailment
11	entailment
12	neutral
13	contradiction
14	neutral
15	contradiction
16	neutral
17	neutral
18	contradiction
19	neutral
20	contradiction
21	neutral
22	contradiction
23	entailment
24	neutral
25	contradiction
26	contradiction
27	entailment
28	entailment
29	contradiction
30	contradiction
31	neutral
32	contradiction
33	neutral
34	contradiction
35	neutral
36	contradiction
37	contradiction
38	neutral
39	contradiction
40	neutral
41	entailment
42	neutral
43	contradiction
44	contradiction
45	neutral
46	contradiction
47	neutral
48	neutral
49	entailment
50	entailment
51	contradiction
52	neutral
53	entailment
54	entailment
55	entailment
56	neutral
57	entailment
58	entailment
59	contradiction
60	entailment
61	neutral
62	neutral
63	entailment
64	entailment
65	entailment
66	entailment
67	entailment
68	contradiction
69	contradiction
70	entailment
71	neutral
72	contradiction
73	contradiction
74	neutral
75	neutral
76	contradiction
77	entailment
78	entailment
79	contradiction
80	neutral
81	contradiction
82	contradiction
83	neutral
84	neutral
85	entailment
86	entailment
87	neutral
88	contradiction
89	contradiction
90	entailment
91	neutral
92	neutral
93	neutral
94	contradiction
95	contradiction
96	entailment
97	neutral
98	contradiction
99	contradiction
100	contradiction
101	contradiction
102	entailment
103	entailment
104	contradiction
105	neutral
106	neutral
107	entailment
108	contradiction
109	entailment
110	contradiction
111	contradiction
112	contradiction
113	contradiction
114	entailment
115	neutral
116	neutral
117	contradiction
118	neutral
119	contradiction
120	contradiction
121	contradiction
122	entailment
123	contradiction
124	entailment
125	contradiction
126	neutral
127	neutral
128	contradiction
129	contradiction
130	contradiction
131	entailment
132	neutral
133	entailment
134	neutral
135	contradiction
136	entailment
137	neutral
138	contradiction
139	contradiction
140	contradiction
141	contradiction
142	entailment
143	contradiction
144	contradiction
145	contradiction
146	entailment
147	neutral
148	contradiction
149	contradiction
150	neutral
151	entailment
152	contradiction
153	neutral
154	entailment
155	entailment
156	entailment
157	contradiction
158	neutral
159	contradiction
160	neutral
161	contradiction
162	contradiction
163	contradiction
164	entailment
165	contradiction
166	neutral
167	contradiction
168	entailment
169	contradiction
170	neutral
171	contradiction
172	entailment
173	neutral
174	neutral
175	contradiction
176	contradiction
177	contradiction
178	entailment
179	contradiction
180	contradiction
181	neutral
182	neutral
183	contradiction
184	neutral
185	contradiction
186	entailment
187	contradiction
188	neutral
189	neutral
190	entailment
191	neutral
192	neutral
193	entailment
194	entailment
195	contradiction
196	entailment
197	entailment
198	contradiction
199	contradiction
200	entailment
201	neutral
202	entailment
203	contradiction
204	contradiction
205	entailment
206	entailment
207	contradiction
208	contradiction
209	entailment
210	neutral
211	contradiction
212	neutral
213	entailment
214	entailment
215	neutral
216	neutral
217	contradiction
218	entailment
219	neutral
220	entailment
221	neutral
222	neutral
223	entailment
224	neutral
225	contradiction
226	neutral
227	contradiction
228	contradiction
229	entailment
230	contradiction
231	contradiction
232	entailment
233	entailment
234	contradiction
235	entailment
236	entailment
237	entailment
238	entailment
239	entailment
240	entailment
241	entailment
242	entailment
243	entailment
244	contradiction
245	entailment
246	entailment
247	neutral
248	contradiction
249	entailment
250	entailment
251	neutral
252	entailment
253	entailment
254	neutral
255	entailment
256	neutral
257	entailment
258	neutral
259	neutral
260	neutral
261	neutral
262	contradiction
263	neutral
264	entailment
265	contradiction
266	contradiction
267	neutral
268	entailment
269	neutral
270	neutral
271	neutral
272	entailment
273	neutral
274	contradiction
275	entailment
276	neutral
277	entailment
278	neutral
279	contradiction
280	neutral
281	contradiction
282	entailment
283	neutral
284	contradiction
285	neutral
286	entailment
287	neutral
288	entailment
289	contradiction
290	neutral
291	contradiction
292	contradiction
293	contradiction
294	entailment
295	entailment
296	neutral
297	neutral
298	neutral
299	neutral
300	contradiction
301	neutral
302	neutral
303	contradiction
304	contradiction
305	neutral
306	contradiction
307	neutral
308	entailment
309	neutral
310	contradiction
311	entailment
312	neutral
313	entailment
314	entailment
315	entailment
316	neutral
317	contradiction
318	entailment
319	contradiction
320	contradiction
321	contradiction
322	neutral
323	entailment
324	neutral
325	contradiction
326	entailment
327	contradiction
328	neutral
329	entailment
330	contradiction
331	entailment
332	contradiction
333	entailment
334	entailment
335	neutral
336	entailment
337	neutral
338	neutral
339	neutral
340	contradiction
341	entailment
342	contradiction
343	neutral
344	contradiction
345	neutral
346	neutral
347	neutral
348	contradiction
349	entailment
350	contradiction
351	contradiction
352	contradiction
353	contradiction
354	contradiction
355	contradiction
356	neutral
357	contradiction
358	neutral
359	entailment
360	entailment
361	neutral
362	contradiction
363	neutral
364	contradiction
365	contradiction
366	contradiction
367	entailment
368	contradiction
369	neutral
370	contradiction
371	entailment
372	contradiction
373	neutral
374	contradiction
375	entailment
376	contradiction
377	contradiction
378	contradiction
379	neutral
380	neutral
381	contradiction
382	neutral
383	contradiction
384	neutral
385	contradiction
386	neutral
387	neutral
388	neutral
389	entailment
390	entailment
391	contradiction
392	contradiction
393	neutral
394	neutral
395	entailment
